cruise,cast,niskin,date,sal00,sal11,sigma_00,sigma_11,density00,density11,sbox0mm_kg,sbox1mm_kg,oxsolmm_kg,potemp090c,potemp190c,svcm,svcm1,prdm,depsm,scan,times,t090c,t190c,c0ms_cm,c1ms_cm,cstarat0,cstartr0,sbeox0v,sbeox1v,fleco_afl,par,spar,cpar,v0,latitude,longitude
AE2426,001,1,2024-11-06 16:28:00+00:00,32.2397,32.2364,23.7387,23.736,1023.8135,1023.8108,236.367,243.079,250.12395,15.4888,15.4895,1505.3,1505.3,16.941,16.808,6887.0,286.917,15.4914,15.4921,40.331643,40.328554,0.5194,87.8221,2.27,2.4428,3.3354,3.2489,2126.4,0.15279,0.2544,41.19725,-70.88264
AE2426,001,2,2024-11-06 16:28:29+00:00,32.24,32.2363,23.7388,23.7359,1023.8127,1023.8098,236.444,242.582,250.12108,15.4893,15.4897,1505.3,1505.29,16.749,16.618,7586.0,316.042,15.4919,15.4922,40.332325,40.328524,0.5304,87.5827,2.2707,2.4389,2.879,3.1317,2116.8,0.14791,0.2745,41.19714,-70.8827
AE2426,001,3,2024-11-06 16:28:50+00:00,32.24,32.2355,23.7389,23.7354,1023.8125,1023.8091,236.384,242.616,250.1227,15.489,15.489,1505.29,1505.29,16.687,16.557,8088.0,336.958,15.4915,15.4915,40.331999,40.326919,0.5382,87.4098,2.2702,2.4392,3.1599,3.0932,2116.4,0.14615,0.2464,41.19703,-70.88274
AE2426,001,4,2024-11-06 16:29:06+00:00,32.2373,32.2321,23.7375,23.7333,1023.8128,1023.8086,236.566,243.03,250.14216,15.4859,15.4869,1505.29,1505.28,17.067,16.933,8476.0,353.125,15.4885,15.4895,40.326376,40.321386,0.5214,87.779,2.2713,2.4423,2.8384,2.9412,2114.2,0.13913,0.2382,41.19696,-70.8828
AE2426,001,5,2024-11-06 16:29:27+00:00,32.2377,32.2325,23.7382,23.734,1023.8143,1023.8101,236.153,243.084,250.15078,15.484,15.485,1505.28,1505.28,17.243,17.108,8980.0,374.125,15.4866,15.4876,40.325161,40.320211,0.5153,87.913,2.2681,2.4426,2.7124,3.0647,2090.4,0.14661,0.2594,41.19686,-70.88287
AE2426,001,6,2024-11-06 16:29:46+00:00,32.2356,32.2305,23.7365,23.7324,1023.8105,1023.8064,236.183,242.829,250.15252,15.4845,15.4854,1505.28,1505.27,16.777,16.646,9424.0,392.625,15.487,15.4879,40.322914,40.31805,0.5192,87.8274,2.2685,2.4407,2.7271,3.4669,2121.1,0.16345,0.2576,41.19674,-70.88294
AE2426,001,7,2024-11-06 16:31:11+00:00,32.2345,32.2298,23.7372,23.7335,1023.7859,1023.7822,236.683,243.157,250.19309,15.4775,15.4778,1505.15,1505.15,11.023,10.937,11461.0,477.5,15.4791,15.4795,40.312081,40.307157,0.5047,88.1466,2.2732,2.4443,2.6781,7.4443,2119.6,0.35123,0.2757,41.19641,-70.88331
AE2426,001,8,2024-11-06 16:31:30+00:00,32.2321,32.2278,23.7352,23.7319,1023.7855,1023.7823,236.696,243.611,250.19511,15.4779,15.478,1505.16,1505.15,11.398,11.309,11909.0,496.167,15.4796,15.4797,40.309906,40.30528,0.4966,88.3248,2.2732,2.4479,2.8395,7.3485,2095.8,0.35064,0.2706,41.19637,-70.88338
AE2426,001,9,2024-11-06 16:31:50+00:00,32.2349,32.2303,23.7378,23.7343,1023.7874,1023.7839,236.517,242.685,250.20038,15.4758,15.4759,1505.15,1505.15,11.236,11.148,12392.0,516.292,15.4775,15.4776,40.311085,40.305967,0.5056,88.1264,2.2718,2.4405,2.7972,7.9746,2102.9,0.37914,0.266,41.19631,-70.88342
AE2426,001,10,2024-11-06 16:32:11+00:00,32.2342,32.2285,23.7372,23.7329,1023.7853,1023.7809,236.363,242.904,250.20041,15.4761,15.4763,1505.15,1505.14,10.88,10.796,12901.0,537.5,15.4778,15.4779,40.310372,40.304201,0.5075,88.0849,2.2708,2.4423,2.7838,8.3239,2130.7,0.39066,0.2817,41.19625,-70.88345
AE2426,001,11,2024-11-06 16:32:26+00:00,32.2321,32.2274,23.7359,23.7322,1023.7859,1023.7822,236.368,243.468,250.20898,15.475,15.4753,1505.15,1505.14,11.325,11.237,13274.0,553.042,15.4767,15.4771,40.307307,40.302318,0.5015,88.2179,2.2706,2.4466,2.9177,7.775,2098.2,0.37045,0.2654,41.19622,-70.88347
AE2426,001,12,2024-11-06 16:32:51+00:00,32.232,32.2271,23.7361,23.7323,1023.7865,1023.7826,236.27,242.905,250.21599,15.4736,15.4738,1505.15,1505.14,11.405,11.317,13861.0,577.5,15.4753,15.4755,40.305955,40.300574,0.4992,88.2684,2.2698,2.4421,2.6943,7.795,2103.8,0.37049,0.2486,41.19616,-70.88352
AE2426,001,13,2024-11-06 16:34:45+00:00,32.2308,32.2261,23.7352,23.7315,1023.748,1023.7443,236.939,243.656,250.22325,15.4739,15.4738,1505.0,1505.0,2.901,2.879,16596.0,691.458,15.4743,15.4743,40.300105,40.294809,0.4845,88.5935,2.2767,2.4501,2.4285,89.215,2107.1,4.2334,0.2736,41.1959,-70.88358
AE2426,001,14,2024-11-06 16:35:06+00:00,32.2302,32.2252,23.7323,23.728,1023.7431,1023.7387,236.975,243.156,250.17239,15.4845,15.4866,1505.03,1505.03,2.426,2.407,17097.0,712.333,15.4849,15.487,40.308919,40.305292,0.4996,88.2594,2.2774,2.4466,2.1337,104.87,2105.0,4.9814,0.2912,41.19586,-70.88359
AE2426,001,15,2024-11-06 16:35:21+00:00,32.231,32.2259,23.7344,23.7303,1023.7476,1023.7434,236.436,242.956,250.20399,15.4777,15.4789,1505.01,1505.01,2.978,2.955,17468.0,727.792,15.4782,15.4793,40.303851,40.29928,0.4995,88.2593,2.273,2.4446,2.3956,83.534,2100.4,3.9769,0.2661,41.19584,-70.88358
AE2426,001,16,2024-11-06 16:35:51+00:00,32.2292,32.2243,23.7325,23.7283,1023.7455,1023.7414,236.977,243.441,250.19416,15.4804,15.4821,1505.02,1505.02,2.964,2.941,18174.0,757.208,15.4808,15.4825,40.30424,40.300378,0.4784,88.7281,2.2772,2.4486,2.3204,87.276,2092.4,4.1712,0.2784,41.19578,-70.88361
AE2426,001,17,2024-11-06 16:36:12+00:00,32.2295,32.2239,23.7337,23.7293,1023.7454,1023.741,236.617,243.538,250.21721,15.4756,15.4762,1505.0,1505.0,2.647,2.627,18698.0,779.042,15.476,15.4766,40.300035,40.294341,0.4904,88.4626,2.2744,2.4492,2.4527,96.165,2115.5,4.5427,0.2704,41.19572,-70.88361
AE2426,001,18,2024-11-06 16:36:27+00:00,32.2288,32.2242,23.7334,23.7294,1023.7457,1023.7417,237.009,242.715,250.22156,15.4749,15.4767,1505.0,1505.0,2.789,2.767,19039.0,793.25,15.4753,15.4771,40.298772,40.295159,0.4952,88.3562,2.2772,2.4426,2.5314,91.207,2099.7,4.3438,0.2639,41.19569,-70.88363
AE2426,001,19,2024-11-06 16:36:42+00:00,32.2291,32.2244,23.7342,23.731,1023.7479,1023.7446,237.045,243.959,250.23571,15.4719,15.4704,1505.0,1504.99,3.099,3.075,19413.0,808.833,15.4724,15.4708,40.296457,40.289779,0.4832,88.6211,2.2773,2.4523,2.3031,76.669,2100.0,3.6498,0.2577,41.19566,-70.88366
AE2426,001,20,2024-11-06 16:36:59+00:00,32.2287,32.2238,23.7316,23.7274,1023.7428,1023.7386,236.863,243.574,250.18405,15.4826,15.4846,1505.02,1505.02,2.535,2.515,19818.0,825.708,15.483,15.485,40.305608,40.301922,0.494,88.3817,2.2765,2.4498,2.2322,104.67,2123.2,4.9289,0.275,41.19562,-70.88366
AE2426,001,21,2024-11-06 16:37:19+00:00,32.2285,32.2239,23.7323,23.7284,1023.7433,1023.7395,236.91,243.688,250.20352,15.4788,15.4802,1505.01,1505.01,2.501,2.481,20301.0,845.833,15.4791,15.4806,40.301733,40.297881,0.5045,88.1519,2.2767,2.4506,2.582,107.1,2116.8,5.0593,0.2802,41.19556,-70.88366
AE2426,001,22,2024-11-06 16:37:36+00:00,32.228,32.2235,23.7308,23.7274,1023.7443,1023.7409,237.177,243.348,250.18047,15.4835,15.4834,1505.03,1505.02,3.052,3.028,20699.0,862.417,15.484,15.4839,40.305868,40.300787,0.4837,88.6089,2.2788,2.4479,2.1078,84.922,2104.5,4.0353,0.2839,41.19552,-70.88366
AE2426,002,1,2024-11-07 05:36:14+00:00,32.4046,32.4009,23.7887,23.7859,1023.8071,1023.8043,235.005,248.07,248.1594,15.836,15.8361,1506.36,1506.35,4.175,4.143,13428.0,559.458,15.8367,15.8368,40.83017,40.826143,0.3654,91.2699,2.2773,2.5021,2.7783,0.64666,24.94,2.597,0.2335,41.03138,-70.76684
