cruise,cast,niskin,date,sigma_00,sigma_11,oxsatmm_kg,sbox0mm_kg,potemp090c,potemp190c,sal00,sal00,sal11,density00,density11,prdm,t090c,t190c,c0s_m,c1s_m,sal00,sal00,sbeox0v,fleco_afl,turbwetntu0,spar,depsm,latitude,longitude
AR66B,1,1,2022-04-20 14:26:49+00:00,25.5361,25.5395,297.3276,277.944,7.2325,7.232,32.6495,32.6495,32.6537,1025.7235,1025.727,40.883,7.2362,7.2357,3.336652,3.337006,32.6495,32.6495,2.644,0.8321,3.2191,1.3421,40.561928531014985,41.03066666666667,-70.8825
AR66B,1,2,2022-04-20 14:27:00+00:00,25.5363,25.5398,297.32877,277.982,7.2322,7.2313,32.6496,32.6496,32.654,1025.7257,1025.7293,41.325,7.2359,7.2351,3.336666,3.336988,32.6496,32.6496,2.6446,0.8987,3.0293,1.3418,41.00041338696836,41.03066666666667,-70.8825
AR66B,1,3,2022-04-20 14:28:50+00:00,25.4878,25.4912,296.89704,279.43,7.3112,7.3107,32.6017,32.6017,32.6059,1025.6268,1025.6302,30.333,7.3139,7.3134,3.338556,3.338902,32.6017,32.6017,2.6623,0.8411,1.501,1.3494,30.095551894734914,41.03066666666667,-70.8825
AR66B,1,4,2022-04-20 14:28:58+00:00,25.4886,25.4921,296.90505,279.496,7.3097,7.3089,32.6025,32.6025,32.6068,1025.6288,1025.6322,30.575,7.3125,7.3117,3.338515,3.338835,32.6025,32.6025,2.6627,0.7183,1.4198,1.35,30.33563970806501,41.03066666666667,-70.8825
AR66B,1,5,2022-04-20 14:29:06+00:00,25.4871,25.4906,296.89001,279.696,7.3124,7.3116,32.601,32.601,32.6054,1025.626,1025.6295,30.297,7.3152,7.3144,3.338599,3.33893,32.601,32.601,2.6631,0.6805,1.4086,1.3481,30.059836328187593,41.03066666666667,-70.8825
AR66B,1,6,2022-04-20 14:30:59+00:00,25.458,25.4615,296.51629,281.523,7.3761,7.3752,32.5751,32.5751,32.5794,1025.5508,1025.5543,20.249,7.3779,7.377,3.341228,3.341548,32.5751,32.5751,2.6836,0.7427,1.4318,1.3484,20.090981164178533,41.03066666666667,-70.8825
AR66B,1,7,2022-04-20 14:31:08+00:00,25.4582,25.4618,296.51901,281.432,7.3756,7.375,32.5753,32.5753,32.5797,1025.5503,1025.5539,20.1,7.3775,7.3768,3.341202,3.341549,32.5753,32.5753,2.6836,0.7696,1.478,1.3493,19.94315113417633,41.03066666666667,-70.8825
AR66B,1,8,2022-04-20 14:33:26+00:00,25.4544,25.4574,296.44934,281.814,7.3882,7.3881,32.5727,32.5727,32.5765,1025.468,1025.4709,2.951,7.3885,7.3884,3.341174,3.341507,32.5727,32.5727,2.691,0.4977,1.4059,1.3443,2.9280938756507657,41.03066666666667,-70.8825
AR66B,1,9,2022-04-20 14:33:33+00:00,25.4542,25.4578,296.44751,281.402,7.3885,7.3882,32.5725,32.5725,32.577,1025.47,1025.4736,3.444,7.3888,7.3885,3.341205,3.341592,32.5725,32.5725,2.6905,0.4472,1.4568,1.3455,3.4172630457265205,41.03066666666667,-70.8825
AR66B,1,10,2022-04-20 14:33:41+00:00,25.4544,25.458,296.43982,281.94,7.3895,7.3888,32.5729,32.5729,32.5773,1025.4734,1025.477,4.145,7.3898,7.3892,3.341359,3.341711,32.5729,32.5729,2.6921,0.4119,1.5085,1.345,4.112813948522176,41.03066666666667,-70.8825
