cruise,cast,niskin,date,sigma_00,sigma_11,oxsatmm_kg,sbox0mm_kg,potemp090c,potemp190c,sal00,sal11,density00,density11,prdm,t090c,t190c,c0s_m,c1s_m,sbeox0v,fleco_afl,turbwetntu0,spar,depsm,latitude,longitude
AR95,1,1,2025-10-18 15:52:04+00:00,23.4156,23.4166,246.33839,221.688,16.2777,16.2786,32.048,32.0495,1023.4776,1023.4785,14.077,16.2799,16.2808,4.083794,4.084051,2.5749,1.0194,2.4844,0.00032394,13.967141284908363,41.198167,-70.883167
AR95,1,2,2025-10-18 15:52:35+00:00,23.4158,23.4165,246.33927,221.364,16.2774,16.2798,32.0481,32.0497,1023.4792,1023.4799,14.404,16.2797,16.2821,4.083801,4.084209,2.5745,1.0314,2.285,0.0002741,14.291578000724364,41.198167,-70.883167
AR95,1,3,2025-10-18 15:52:49+00:00,23.4155,23.4165,246.3291,221.392,16.2795,16.2807,32.0483,32.0499,1023.4779,1023.4789,14.185,16.2817,16.2829,4.084003,4.084293,2.5733,1.0061,2.3993,0.00042361,14.074294752543878,41.198167,-70.883167
AR95,1,4,2025-10-18 15:53:02+00:00,23.4157,23.4165,246.3314,221.588,16.2789,16.2809,32.0484,32.0501,1023.4811,1023.4819,14.858,16.2812,16.2832,4.083995,4.084371,2.5747,1.0118,2.305,0.00022427,14.742018337158912,41.198167,-70.883167
AR95,1,5,2025-10-18 15:53:18+00:00,23.4156,23.4166,246.33072,220.711,16.2792,16.2805,32.0483,32.05,1023.4776,1023.4786,14.099,16.2814,16.2827,4.08397,4.084286,2.569,1.0082,2.505,0.00039869,13.988968847682626,41.198167,-70.883167
AR95,1,6,2025-10-18 15:53:28+00:00,23.4144,23.4155,246.30656,221.66,16.2842,16.2854,32.0483,32.0501,1023.4756,1023.4767,13.896,16.2864,16.2875,4.084421,4.084727,2.5771,0.9665,2.2618,0.00034886,13.787559884587775,41.198167,-70.883167
AR95,1,7,2025-10-18 15:53:41+00:00,23.4155,23.4165,246.32636,221.852,16.2799,16.2814,32.0485,32.0502,1023.4805,1023.4814,14.751,16.2822,16.2837,4.084095,4.084425,2.5783,0.9686,2.4865,0.00034886,14.635857378036185,41.198167,-70.883167
AR95,1,8,2025-10-18 15:57:22+00:00,23.4103,23.4108,246.2175,223.876,16.3036,16.3065,32.0487,32.0503,1023.4439,1023.4445,7.644,16.3048,16.3077,4.085888,4.086343,2.587,0.986,1.8096,0.00032394,7.584463580435437,41.198167,-70.883167
AR95,1,9,2025-10-18 15:57:33+00:00,23.4112,23.4123,246.2355,222.772,16.2998,16.3017,32.0487,32.0507,1023.4441,1023.4452,7.474,16.301,16.3029,4.085544,4.085938,2.5872,0.955,1.7871,0.00029902,7.415790708337227,41.198167,-70.883167
AR95,1,10,2025-10-18 15:57:42+00:00,23.4034,23.4033,246.08351,222.128,16.3317,16.3365,32.048,32.0493,1023.4358,1023.4357,7.365,16.3328,16.3376,4.088379,4.088965,2.5891,0.9145,1.4421,0.00029902,7.307641558337274,41.198167,-70.883167
AR95,1,11,2025-10-18 15:58:03+00:00,23.4114,23.4151,246.23373,222.78,16.3001,16.2955,32.0491,32.0526,1023.4442,1023.4479,7.449,16.3012,16.2967,4.085606,4.085586,2.5855,1.027,1.8689,0.00042361,7.390985862473463,41.198167,-70.883167
AR95,1,12,2025-10-18 15:58:15+00:00,23.4017,23.403,246.05658,223.516,16.3375,16.3403,32.0475,32.0501,1023.4327,1023.4341,7.049,16.3386,16.3414,4.088838,4.089393,2.5952,0.894,1.4354,0.00034886,6.994107919546374,41.198167,-70.883167
AR95,1,13,2025-10-18 15:58:27+00:00,23.4112,23.412,246.22852,223.48,16.3011,16.3043,32.0491,32.051,1023.4444,1023.4452,7.557,16.3023,16.3055,4.08571,4.086221,2.5965,0.9602,1.7354,0.0002741,7.498142775033063,41.198167,-70.883167
AR95,1,14,2025-10-18 15:58:37+00:00,23.4114,23.4128,246.23662,222.919,16.2996,16.3006,32.0489,32.051,1023.4438,1023.4452,7.365,16.3007,16.3018,4.08553,4.085874,2.5888,0.9933,2.0494,0.00039869,7.307641558337274,41.198167,-70.883167
AR95,1,15,2025-10-18 16:01:18+00:00,23.4,23.4013,246.01727,224.035,16.3462,16.3486,32.0479,32.0502,1023.411,1023.4123,2.494,16.3466,16.349,4.089434,4.08992,2.6055,0.8374,1.3737,0.00049837,2.474606026806098,41.198167,-70.883167
AR95,1,16,2025-10-18 16:01:31+00:00,23.3951,23.3959,245.9222,223.858,16.3662,16.3713,32.0474,32.0499,1023.4053,1023.4061,2.311,16.3666,16.3717,4.091203,4.091963,2.6058,0.6844,1.2007,0.00057312,2.2930300988894254,41.198167,-70.883167
AR95,1,17,2025-10-18 16:01:40+00:00,23.4018,23.4025,246.0498,223.734,16.3394,16.3433,32.0481,32.0502,1023.4126,1023.4133,2.448,16.3398,16.3437,4.08883,4.089427,2.6015,0.9574,1.5857,0.00047345,2.428964005448609,41.198167,-70.883167
AR95,1,18,2025-10-18 16:01:50+00:00,23.3949,23.3944,245.92952,223.387,16.3649,16.3738,32.0467,32.0488,1023.4056,1023.4052,2.441,16.3653,16.3742,4.091008,4.092068,2.6017,0.6721,1.2996,0.00049837,2.4220184795664834,41.198167,-70.883167
AR95,1,19,2025-10-18 16:02:01+00:00,23.3857,23.3876,245.73927,224.517,16.4045,16.4042,32.0464,32.0488,1023.3976,1023.3995,2.716,16.405,16.4047,4.09464,4.094889,2.6081,0.6557,1.0305,0.00039869,2.6948782475509514,41.198167,-70.883167
AR95,1,20,2025-10-18 16:02:09+00:00,23.3854,23.3866,245.73593,224.644,16.4053,16.4068,32.0463,32.0483,1023.3959,1023.3971,2.396,16.4057,16.4071,4.094681,4.095041,2.6132,0.5939,1.039,0.00049837,2.3773686646922014,41.198167,-70.883167
AR95,1,21,2025-10-18 16:02:24+00:00,23.3971,23.3982,245.94854,222.946,16.3603,16.3607,32.0482,32.0498,1023.4095,1023.4107,2.827,16.3608,16.3612,4.090788,4.091006,2.6029,0.7952,1.2586,0.0002741,2.8050142689593973,41.198167,-70.883167
AR95,1,22,2025-10-18 16:02:36+00:00,23.4005,23.4028,246.03136,222.887,16.3434,16.3422,32.0477,32.0503,1023.41,1023.4122,2.145,16.3438,16.3425,4.089134,4.089317,2.599,0.855,1.4792,0.00037378,2.1283217406842074,41.198167,-70.883167
AR95,1,23,2025-10-18 16:02:44+00:00,23.4021,23.4042,246.05907,223.833,16.3375,16.3354,32.048,32.0501,1023.4125,1023.4146,2.366,16.3379,16.3358,4.088638,4.088687,2.5956,0.7592,1.385,0.00052329,2.3476021160272493,41.198167,-70.883167
AR95,1,24,2025-10-18 16:02:54+00:00,23.3897,23.3911,245.82106,224.339,16.3875,16.3881,32.0466,32.0486,1023.4008,1023.4022,2.528,16.3879,16.3885,4.093078,4.093363,2.6048,0.6732,1.1606,0.00037378,2.508341427349777,41.198167,-70.883167
AR95,2,1,2025-10-19 02:48:29+00:00,23.7484,23.7497,249.1982,223.77,15.6055,15.607,32.2857,32.2879,1023.9151,1023.9164,37.79,15.6112,15.6128,4.050229,4.050611,2.5686,0.9936,0.901,0.00014951,37.49347174333813,41.039,-70.884333
AR95,2,2,2025-10-19 02:48:38+00:00,23.7484,23.7487,249.19551,226.0,15.606,15.6084,32.2858,32.2869,1023.9155,1023.9158,37.893,15.6118,15.6142,4.050286,4.050641,2.5795,0.9366,1.0276,0.00019935,37.59565414147063,41.039,-70.884333
AR95,2,3,2025-10-19 02:51:49+00:00,23.6932,23.6946,248.71511,224.745,15.7194,15.7209,32.2466,32.2488,1023.7934,1023.7947,22.721,15.7229,15.7244,4.055469,4.055853,2.5932,0.8807,0.41,0.00024918,22.543537899554646,41.039,-70.884333
AR95,2,4,2025-10-19 02:52:00+00:00,23.6933,23.6943,248.71591,223.539,15.7192,15.722,32.2467,32.2487,1023.7927,1023.7937,22.543,15.7227,15.7254,4.055453,4.055935,2.5778,0.914,0.3877,0.00022427,22.366937820885255,41.039,-70.884333
AR95,2,5,2025-10-19 02:52:10+00:00,23.6931,23.6945,248.71152,226.974,15.7201,15.7219,32.2467,32.249,1023.7925,1023.7938,22.542,15.7235,15.7253,4.055538,4.055956,2.599,0.8508,0.4008,0.00042361,22.36594568518126,41.039,-70.884333
AR95,2,6,2025-10-19 02:52:18+00:00,23.6936,23.6943,248.71535,225.802,15.7192,15.7225,32.247,32.2489,1023.7937,1023.7945,22.715,15.7227,15.726,4.055499,4.056022,2.5956,0.8456,0.4069,0.00022427,22.537585090396547,41.039,-70.884333
AR95,2,7,2025-10-19 02:52:29+00:00,23.6926,23.6941,248.70288,225.97,15.7219,15.723,32.2465,32.2488,1023.7946,1023.7961,23.148,15.7254,15.7265,4.055705,4.056066,2.5985,0.8536,0.4761,0.0002741,22.967179039893004,41.039,-70.884333
AR95,2,8,2025-10-19 02:52:56+00:00,23.6925,23.6941,248.70374,224.234,15.7218,15.7237,32.2464,32.249,1023.792,1023.7936,22.563,15.7252,15.7271,4.055662,4.05612,2.5845,0.8026,0.4084,0.00022427,22.386780533955008,41.039,-70.884333
AR95,2,9,2025-10-19 02:53:05+00:00,23.6925,23.6942,248.69912,226.876,15.7226,15.7232,32.2467,32.249,1023.7927,1023.7944,22.713,15.7261,15.7266,4.055773,4.056086,2.5977,0.7844,0.4283,0.00024918,22.5356008206387,41.039,-70.884333
AR95,2,10,2025-10-19 02:57:04+00:00,23.6513,23.6518,248.60429,230.724,15.7589,15.7628,32.2035,32.2053,1023.6949,1023.6954,9.886,15.7604,15.7643,4.053516,4.054077,2.6469,0.9671,0.3456,0.00029902,9.809090841941792,41.039,-70.884333
