cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,sbox1mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,cstarat0,v1,fleco_afl,v2,altm,v3,v4,sbeox0v,v5,sbeox1v,v6,par,cpar,v7,spar,latitude,longitude
EN695,001,1,2023-01-11 19:59:59+00:00,32.4981,32.4968,25.5353,25.5345,304.0183,295.513,298.291,6.3272,6.3262,1473.17,1473.17,11133.0,11.83332,463.833,17.167,17.032,6.3286,6.3276,-0.001,3.243309,3.243105,4.0928,0.9491,0.2967,1.4202,0.1965,3.93,1.7744,2.3789,2.379,2.1801,2.1801,0.2989,5.7073,0.40014,0.0,1426.3,41.19792,-70.88524
EN695,001,2,2023-01-11 20:00:08+00:00,32.4969,32.4946,25.5386,25.5368,304.26234,296.518,299.024,6.2935,6.2934,1473.04,1473.04,11335.0,11.833417,472.25,17.261,17.126,6.2949,6.2948,-0.0001,3.2403,3.240094,4.0961,0.9459,0.2796,1.3175,0.2026,4.05,1.771,2.3791,2.3792,2.1785,2.1785,0.3058,5.6621,0.39115,0.0,1447.6,41.19793,-70.88527
EN695,001,3,2023-01-11 20:00:19+00:00,32.4954,32.493,25.5412,25.5386,304.47661,295.883,298.955,6.264,6.2696,1472.92,1472.94,11602.0,11.833546,483.375,17.131,16.997,6.2654,6.271,0.0056,3.237635,3.237897,4.0975,0.9445,0.2983,1.4297,0.2067,4.13,1.7886,2.3779,2.3779,2.1783,2.1783,0.2975,5.9,0.40328,0.0,1463.0,41.19794,-70.88532
EN695,001,4,2023-01-11 20:00:30+00:00,32.4945,32.4934,25.5392,25.5375,304.4122,295.944,298.872,6.2733,6.2806,1472.95,1472.98,11860.0,11.83367,494.125,17.092,16.958,6.2747,6.282,0.0073,3.238344,3.238871,4.0885,0.9534,0.3008,1.4447,0.2123,4.25,1.7903,2.3778,2.3778,2.1784,2.1784,0.2932,5.923,0.40725,0.0,1454.4,41.19794,-70.88534
EN695,001,5,2023-01-11 20:00:38+00:00,32.496,32.493,25.5376,25.537,304.24439,295.939,298.761,6.2963,6.2825,1473.05,1472.99,12060.0,11.833767,502.458,17.132,16.998,6.2977,6.2839,-0.0138,3.240455,3.239006,4.0952,0.9467,0.289,1.3737,0.2084,4.17,1.7903,2.3771,2.3771,2.1783,2.1783,0.2971,5.9229,0.4114,0.0,1439.7,41.19794,-70.88536
EN695,001,6,2023-01-11 20:00:47+00:00,32.4953,32.4932,25.5409,25.5391,304.47157,296.036,298.81,6.2648,6.2665,1472.92,1472.93,12278.0,11.833872,511.542,17.123,16.989,6.2662,6.2679,0.0017,3.237683,3.237648,4.0982,0.9438,0.2769,1.3017,0.2064,4.13,1.795,2.377,2.377,2.1782,2.1782,0.2941,5.9899,0.41707,0.0,1436.2,41.19794,-70.88537
EN695,001,7,2023-01-11 20:02:29+00:00,32.5065,32.5042,25.5309,25.5292,303.37172,295.513,298.422,6.4156,6.4149,1473.45,1473.45,14728.0,11.835054,613.625,12.476,12.379,6.4166,6.4159,-0.0007,3.251436,3.251166,4.0744,0.9674,0.2563,1.1777,0.4406,8.81,2.1772,2.3823,2.3823,2.1831,2.1831,0.3007,14.579,1.4219,0.0,1034.0,41.19804,-70.88574
EN695,001,8,2023-01-11 20:02:37+00:00,32.5049,32.5023,25.5335,25.53,303.59275,295.715,298.404,6.3851,6.3957,1473.33,1473.37,14922.0,11.835147,621.708,12.487,12.389,6.3861,6.3968,0.0106,3.248662,3.249342,4.0769,0.9649,0.2696,1.2577,0.4535,9.07,2.1672,2.3813,2.3813,2.1825,2.1825,0.3161,14.246,1.2246,0.0,1165.4,41.19804,-70.88574
EN695,001,9,2023-01-11 20:02:45+00:00,32.5057,32.5012,25.5283,25.5285,303.26876,295.489,298.067,6.4303,6.4014,1473.51,1473.39,15110.0,11.835238,629.542,12.38,12.284,6.4314,6.4024,-0.0289,3.252621,3.249728,4.0763,0.9655,0.2668,1.2405,0.457,9.14,2.1771,2.3812,2.3812,2.182,2.182,0.3077,14.575,1.1032,0.0,1321.2,41.19804,-70.88577
EN695,001,10,2023-01-11 20:02:57+00:00,32.5061,32.5038,25.5296,25.5289,303.32146,295.535,298.013,6.4228,6.4142,1473.48,1473.44,15399.0,11.835377,641.583,12.402,12.305,6.4238,6.4152,-0.0086,3.252012,3.25106,4.0745,0.9673,0.2592,1.1954,0.4445,8.89,2.1891,2.3821,2.3821,2.1826,2.1827,0.307,14.988,1.1845,0.0,1265.3,41.19804,-70.88578
