cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,sbox1mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,cstarat0,v1,fleco_afl,v2,altm,v3,v4,sbeox0v,v5,sbeox1v,v6,par,cpar,v7,spar,latitude,longitude,c2_c1s_m,cstartr0
EN706,001,1,2023-08-07 17:30:42+00:00,32.0872,32.0858,23.8556,23.853,255.69613,221.863,230.059,14.3912,14.3983,1501.65,1501.67,6889.0,219.729641,287.0,19.038,18.889,14.394,14.401,0.007,3.916114,3.916594,3.8563,1.1145,0.435,2.1238,0.1987,3.97,2.0061,2.1854,2.1854,2.1201,2.1201,0.2937,12.149,1.4076,0.0,863.13,41.19768,-70.881,NaN,NaN
EN706,001,2,2023-08-07 17:30:56+00:00,32.0868,32.088,23.8553,23.857,255.69593,222.513,229.592,14.3914,14.3875,1501.65,1501.64,7225.0,219.729803,301.0,19.067,18.918,14.3941,14.3902,-0.0039,3.916087,3.91586,3.8518,1.1193,0.4317,2.1041,0.1983,3.97,2.0048,2.1873,2.1873,2.1183,2.1183,0.277,12.112,1.3964,0.0,867.4,41.19772,-70.88102,NaN,NaN
EN706,001,3,2023-08-07 17:31:07+00:00,32.0871,32.0878,23.856,23.8568,255.70836,221.974,229.383,14.3889,14.3877,1501.65,1501.64,7491.0,219.729932,312.083,19.141,18.992,14.3916,14.3904,-0.0012,3.915896,3.91586,3.8553,1.1155,0.4427,2.17,0.1867,3.73,1.9968,2.1844,2.1844,2.1178,2.1178,0.313,11.891,1.3696,0.0,868.21,41.19774,-70.88104,NaN,NaN
EN706,001,4,2023-08-07 17:31:26+00:00,32.087,32.0879,23.8556,23.8565,255.69932,222.343,229.815,14.3907,14.3892,1501.65,1501.65,7965.0,219.73016,331.833,19.265,19.115,14.3934,14.392,-0.0015,3.916054,3.916011,3.8602,1.1104,0.4163,2.0117,0.1835,3.67,1.9699,2.1871,2.1871,2.1199,2.1199,0.3042,11.167,1.2929,0.0,863.73,41.19778,-70.88106,NaN,NaN
EN706,001,5,2023-08-07 17:31:33+00:00,32.0868,32.0875,23.8555,23.8562,255.70095,222.145,229.849,14.3904,14.3892,1501.65,1501.65,8123.0,219.730236,338.417,19.11,18.961,14.3932,14.392,-0.0012,3.916003,3.915964,3.8583,1.1124,0.4187,2.0262,0.1929,3.86,1.9853,2.1857,2.1857,2.121,2.121,0.3087,11.576,1.3357,0.0,866.66,41.1978,-70.88106,NaN,NaN
EN706,001,6,2023-08-07 17:34:09+00:00,32.0175,31.9881,23.7518,23.6893,254.58791,224.575,234.176,14.6312,14.8191,1502.2,1502.77,11860.0,219.732038,494.125,10.258,10.178,14.6327,14.8206,0.1879,3.929762,3.94358,3.7752,1.2008,0.4349,2.1234,0.6025,12.05,2.8347,2.2394,2.2394,2.1803,2.1803,0.3277,82.589,10.177,0.0,811.52,41.19814,-70.8812,NaN,NaN
EN706,001,7,2023-08-07 17:34:15+00:00,32.0218,32.0196,23.7625,23.7592,254.76185,221.048,228.37,14.5959,14.6039,1502.09,1502.11,12019.0,219.732115,500.75,10.19,10.111,14.5974,14.6054,0.008,3.927026,3.927514,3.7892,1.1858,0.4355,2.1273,0.6087,12.18,2.8419,2.1868,2.1868,2.1237,2.1237,0.3236,83.956,10.339,0.0,812.04,41.19816,-70.8812,NaN,NaN
EN706,001,8,2023-08-07 17:34:23+00:00,32.0246,32.0254,23.7663,23.7679,254.79577,220.673,228.026,14.5884,14.5834,1502.06,1502.05,12205.0,219.732205,508.5,10.062,9.984,14.5898,14.5848,-0.005,3.926646,3.926274,3.7965,1.178,0.4345,2.1212,0.6112,12.22,2.873,2.1818,2.1819,2.1162,2.1162,0.3002,90.226,11.134,0.0,810.37,41.19816,-70.8812,NaN,NaN
EN706,001,9,2023-08-07 17:34:31+00:00,32.0093,32.0092,23.7466,23.7466,254.63043,219.82,227.427,14.6258,14.6253,1502.17,1502.17,12400.0,219.732299,516.625,10.207,10.127,14.6273,14.6268,-0.0005,3.928357,3.928303,3.7727,1.2035,0.4341,2.1185,0.602,12.04,2.8579,2.1808,2.1808,2.1152,2.1152,0.3354,87.139,10.751,0.0,810.48,41.19818,-70.88118,NaN,NaN
EN706,001,10,2023-08-07 17:34:41+00:00,31.9934,31.9924,23.7254,23.7238,254.44028,219.079,226.599,14.6682,14.672,1502.29,1502.3,12638.0,219.732414,526.542,10.274,10.194,14.6697,14.6735,0.0038,3.930468,3.930696,3.7471,1.2312,0.4403,2.1558,0.6093,12.19,2.8455,2.1759,2.176,2.1114,2.1114,0.2861,84.747,10.489,0.0,807.89,41.1982,-70.88118,NaN,NaN
EN706,001,11,2023-08-07 17:34:48+00:00,31.9664,31.9668,23.6867,23.6869,254.05537,219.5,226.97,14.7527,14.7534,1502.52,1502.52,12808.0,219.732496,533.625,9.968,9.891,14.7542,14.7549,0.0007,3.935133,3.935241,3.7384,1.2407,0.4674,2.3185,0.638,12.76,2.888,2.1775,2.1776,2.1134,2.1134,0.3355,93.391,11.508,0.0,811.52,41.1982,-70.88118,NaN,NaN
EN706,001,12,2023-08-07 17:36:50+00:00,31.776,31.7792,22.3302,22.3363,230.39993,244.551,253.559,19.9,19.8855,1517.64,1517.61,15741.0,219.73391,655.833,2.947,2.924,19.9005,19.8861,-0.0144,4.386422,4.385463,3.8393,1.1324,0.24,0.9541,1.0002,20.0,3.8879,2.5794,2.5794,2.4975,2.4975,0.3503,1006.9,125.73,0.0,800.95,41.19822,-70.88098,NaN,NaN
EN706,001,13,2023-08-07 17:37:02+00:00,31.7965,31.7951,22.3645,22.3625,230.67625,242.465,250.626,19.8275,19.8311,1517.46,1517.47,16010.0,219.73404,667.042,2.999,2.976,19.828,19.8316,0.0036,4.382185,4.382343,3.8423,1.1293,0.2312,0.901,0.9865,19.73,3.8688,2.552,2.552,2.4664,2.4664,0.3367,953.05,119.5,0.0,797.24,41.19822,-70.88096,NaN,NaN
EN706,001,14,2023-08-07 17:37:11+00:00,31.7911,31.7901,22.3506,22.3493,230.52309,242.606,250.965,19.8655,19.8678,1517.57,1517.57,16229.0,219.734145,676.167,3.055,3.031,19.866,19.8683,0.0023,4.385068,4.385164,3.8455,1.1259,0.2346,0.9215,0.9926,19.85,3.7196,2.5538,2.5538,2.4662,2.4663,0.3407,665.85,83.5,0.0,797.5,41.19822,-70.88096,NaN,NaN
EN706,001,15,2023-08-07 17:37:18+00:00,31.8038,31.8048,22.3862,22.3777,230.93233,243.138,251.27,19.7646,19.8005,1517.3,1517.4,16404.0,219.73423,683.458,3.107,3.083,19.7652,19.801,0.0359,4.377223,4.380693,3.8436,1.1279,0.2322,0.9076,0.9901,19.8,3.7786,2.5575,2.5575,2.4683,2.4684,0.2988,805.66,101.25,0.0,795.61,41.19822,-70.88094,NaN,NaN
EN706,001,16,2023-08-07 17:37:26+00:00,31.8011,31.8063,22.3719,22.3791,230.73347,243.005,250.3,19.8123,19.7997,1517.43,1517.4,16595.0,219.734322,691.417,3.116,3.091,19.8129,19.8003,-0.0126,4.381343,4.380808,3.8419,1.1297,0.2359,0.9294,0.9922,19.84,3.6137,2.5486,2.5487,2.4497,2.4498,0.3406,498.53,63.056,0.0,790.6,41.19822,-70.88092,NaN,NaN
EN706,001,17,2023-08-07 17:37:33+00:00,31.7972,31.797,22.3626,22.3642,230.63536,242.853,249.911,19.8368,19.83,1517.49,1517.47,16775.0,219.734409,698.917,3.143,3.118,19.8374,19.8306,-0.0067,4.383154,4.3825,3.8409,1.1307,0.2324,0.9082,0.9924,19.85,3.6016,2.5455,2.5455,2.4543,2.4544,0.3419,484.24,61.499,0.0,787.38,41.19821,-70.88091,NaN,NaN
EN706,001,18,2023-08-07 17:37:41+00:00,31.8161,31.8151,22.4095,22.406,231.14539,242.169,248.832,19.7102,19.721,1517.16,1517.19,16953.0,219.734495,706.333,3.257,3.232,19.7107,19.7216,0.0108,4.373664,4.374557,3.8445,1.127,0.2321,0.9065,0.9902,19.81,3.5953,2.5461,2.5461,2.4505,2.4506,0.3429,477.25,60.751,0.0,785.56,41.1982,-70.8809,NaN,NaN
EN706,001,19,2023-08-07 17:37:48+00:00,31.8276,31.8539,22.4802,22.5414,232.16605,246.345,251.698,19.4679,19.3054,1516.49,1516.05,17129.0,219.734579,713.667,3.075,3.051,19.4684,19.3059,-0.1625,4.352459,4.340527,3.8413,1.1303,0.2287,0.8863,0.994,19.88,3.734,2.5431,2.5431,2.4422,2.4422,0.3324,715.99,91.145,0.0,785.86,41.1982,-70.88088,NaN,NaN
EN706,001,20,2023-08-07 17:37:55+00:00,31.7858,31.7848,22.3355,22.3337,230.35063,241.855,249.67,19.9081,19.9124,1517.68,1517.69,17303.0,219.734663,720.917,3.075,3.051,19.9086,19.9129,0.0043,4.388386,4.388671,3.845,1.1265,0.2308,0.899,0.999,19.98,3.7375,2.546,2.546,2.4611,2.4611,0.3615,718.77,91.57,0.0,784.93,41.1982,-70.88086,NaN,NaN
EN706,001,21,2023-08-07 17:38:03+00:00,31.7873,31.7874,22.3373,22.338,230.35737,242.115,250.472,19.9059,19.9033,1517.67,1517.67,17483.0,219.73475,728.417,3.051,3.027,19.9064,19.9038,-0.0026,4.388379,4.388141,3.8352,1.1368,0.2322,0.9073,0.9986,19.97,3.7454,2.5457,2.5457,2.4583,2.4583,0.312,740.93,94.834,0.0,781.3,41.1982,-70.88085,NaN,NaN
