cruise,cast,niskin,date,scan,timej,times,prdm,t090c,t190c,c0s_m,c1s_m,v0,fleco_afl,v2,altm,v3,v4,sbeox0v,latitude,longitude,depsm,sal00,sal11,sigma_00,sigma_11,sbox0mm_kg,oxsolmm_kg,potemp090c,potemp190c,svcm,dz_dtm
HRS2303,001,1,2023-04-29 10:53:44+00:00,5368.0,119.453977,223.625,12.157,10.5889,10.5876,3.578771,3.578753,0.1575,0.9148,2.4741,2.94,0.0,0.3491,2.4741,41.32736,-70.56378,12.063,32.1228,32.1238,24.6073,24.6083,240.348,276.80554,10.5875,10.5862,1488.65,-0.143
HRS2303,001,2,2023-04-29 10:53:58+00:00,5704.0,119.454139,237.625,12.411,10.5926,10.5915,3.579098,3.579067,0.1652,0.9916,2.4769,2.88,0.0,0.331,2.4769,41.32732,-70.56381,12.314,32.1227,32.1234,24.6066,24.6073,240.991,276.7835,10.5912,10.5901,1488.66,0.153
HRS2303,001,3,2023-04-29 10:53:59+00:00,5736.0,119.454155,238.958,12.33,10.5926,10.5913,3.579089,3.579057,0.1636,0.9761,2.4755,2.75,0.0,0.3321,2.4755,41.32732,-70.5638,12.233,32.1227,32.1235,24.6066,24.6074,240.456,276.78388,10.5912,10.5899,1488.66,-0.004
HRS2303,001,4,2023-04-29 10:54:06+00:00,5904.0,119.454236,245.958,12.194,10.5935,10.5925,3.579149,3.579147,0.1673,1.013,2.473,3.08,0.0,0.351,2.4731,41.3273,-70.56382,12.099,32.1226,32.1234,24.6063,24.6072,240.468,276.77896,10.5921,10.5911,1488.66,0.002
HRS2303,001,5,2023-04-29 10:54:09+00:00,5956.0,119.454261,248.125,12.272,10.5942,10.5935,3.579216,3.579235,0.1666,1.0058,2.4749,2.89,0.0,0.3562,2.4749,41.3273,-70.56382,12.176,32.1225,32.1233,24.6062,24.6069,240.623,276.77447,10.5928,10.5921,1488.67,0.034
HRS2303,001,6,2023-04-29 10:54:11+00:00,6016.0,119.45429,250.625,12.16,10.5941,10.5932,3.579209,3.579207,0.1685,1.025,2.4748,2.87,0.0,0.348,2.4748,41.32729,-70.56382,12.065,32.1226,32.1234,24.6063,24.607,240.449,276.77498,10.5927,10.5918,1488.66,-0.058
HRS2303,001,7,2023-04-29 10:57:01+00:00,10085.0,119.456252,420.167,2.212,10.5996,10.5984,3.579304,3.579255,0.1353,0.6933,2.4777,1.95,0.0,0.3198,2.4778,41.32694,-70.56412,2.195,32.1229,32.1235,24.6053,24.606,240.849,276.74162,10.5994,10.5982,1488.52,0.249
HRS2303,001,8,2023-04-29 10:57:02+00:00,10117.0,119.456267,421.5,1.98,10.5998,10.5987,3.579294,3.57926,0.1378,0.7175,2.479,1.59,0.0,0.2882,2.479,41.32694,-70.56411,1.965,32.1228,32.1234,24.6052,24.6059,240.849,276.74113,10.5995,10.5985,1488.52,-0.014
HRS2303,001,9,2023-04-29 10:57:03+00:00,10147.0,119.456282,422.75,1.488,10.5993,10.5987,3.579246,3.579246,0.1356,0.6955,2.4796,2.06,0.0,0.3239,2.4796,41.32694,-70.56411,1.476,32.1229,32.1234,24.6054,24.6059,240.806,276.74355,10.5991,10.5986,1488.51,-0.415
HRS2303,001,10,2023-04-29 10:57:05+00:00,10177.0,119.456296,424.0,1.668,10.5993,10.5983,3.579262,3.579224,0.1341,0.6806,2.4796,2.33,0.0,0.3368,2.4796,41.32692,-70.56412,1.655,32.123,32.1235,24.6055,24.606,240.707,276.74336,10.5991,10.5981,1488.51,-0.03
HRS2303,001,11,2023-04-29 10:57:06+00:00,10207.0,119.456311,425.25,2.088,10.5996,10.5982,3.579295,3.579219,0.1375,0.7142,2.478,2.63,0.0,0.3398,2.478,41.32692,-70.56412,2.072,32.1229,32.1234,24.6054,24.6059,240.325,276.74198,10.5993,10.598,1488.52,0.334
HRS2303,001,12,2023-04-29 10:57:07+00:00,10239.0,119.456326,426.583,2.261,10.5991,10.5976,3.579255,3.579183,0.1382,0.7217,2.4767,2.75,0.0,0.3556,2.4767,41.32692,-70.56412,2.244,32.1229,32.1235,24.6054,24.6061,240.107,276.74487,10.5988,10.5973,1488.52,0.185
HRS2303,002,1,2023-05-02 20:05:20+00:00,4868.0,122.837035,202.792,15.941,9.8225,9.8221,3.530068,3.530037,0.12,0.5393,2.5316,4.19,0.0,0.3417,2.5316,41.19924,-70.88514,15.816,32.3118,32.3118,24.883,24.8831,251.574,281.04161,9.8207,9.8204,1486.18,-0.367
HRS2303,002,2,2023-05-02 20:05:22+00:00,4908.0,122.837054,204.458,15.892,9.8233,9.8256,3.530151,3.530282,0.1192,0.5319,2.5323,4.46,0.0,0.3261,2.5323,41.19924,-70.88513,15.768,32.3119,32.3112,24.883,24.8821,251.767,281.03625,9.8216,9.8238,1486.18,-0.059
HRS2303,002,3,2023-05-02 20:05:24+00:00,4954.0,122.837076,206.375,16.142,9.8298,9.8293,3.530642,3.530547,0.1218,0.5585,2.5325,4.51,0.0,0.3265,2.5325,41.19924,-70.88512,16.016,32.311,32.3105,24.8812,24.8808,251.679,280.99869,9.828,9.8276,1486.21,0.124
HRS2303,002,4,2023-05-02 20:05:25+00:00,4992.0,122.837094,207.958,16.429,9.8296,9.8275,3.530666,3.530484,0.1193,0.5329,2.533,4.21,0.0,0.2874,2.533,41.19926,-70.88512,16.301,32.3113,32.3113,24.8815,24.8818,251.788,280.99914,9.8278,9.8257,1486.21,0.201
HRS2303,002,5,2023-05-02 20:05:27+00:00,5032.0,122.837114,209.625,16.086,9.8348,9.8327,3.531055,3.530885,0.1173,0.5134,2.5328,4.04,0.0,0.3148,2.5328,41.19926,-70.88512,15.96,32.3107,32.3109,24.8801,24.8806,251.674,280.96836,9.8331,9.831,1486.23,-0.175
HRS2303,002,6,2023-05-02 20:05:29+00:00,5067.0,122.837131,211.083,15.931,9.837,9.8351,3.531206,3.531075,0.117,0.5097,2.5327,4.24,0.0,0.3432,2.5327,41.19926,-70.88512,15.807,32.3104,32.3108,24.8795,24.8801,251.601,280.95575,9.8353,9.8334,1486.23,-0.171
HRS2303,002,7,2023-05-02 20:08:18+00:00,9143.0,122.839096,380.917,3.459,9.9127,9.913,3.536902,3.536845,0.0976,0.3161,2.5411,16.85,0.0,0.3513,2.5412,41.19996,-70.88467,3.432,32.3059,32.305,24.8633,24.8627,251.955,280.5038,9.9123,9.9126,1486.29,-0.01
HRS2303,002,8,2023-05-02 20:08:20+00:00,9175.0,122.839112,382.25,3.707,9.9131,9.9133,3.536961,3.536919,0.0971,0.3111,2.5407,16.69,0.0,0.3515,2.5407,41.19997,-70.88466,3.678,32.3059,32.3053,24.8633,24.8628,251.754,280.50087,9.9127,9.9129,1486.3,0.131
HRS2303,002,9,2023-05-02 20:08:21+00:00,9205.0,122.839126,383.5,3.942,9.9138,9.9139,3.537001,3.536969,0.0968,0.3076,2.5395,16.28,0.0,0.3406,2.5395,41.19998,-70.88466,3.911,32.3057,32.3052,24.863,24.8627,251.486,280.49753,9.9133,9.9135,1486.31,0.228
HRS2303,002,10,2023-05-02 20:08:22+00:00,9234.0,122.83914,384.708,3.782,9.9144,9.9144,3.537038,3.536972,0.0965,0.3046,2.5393,16.03,0.0,0.3505,2.5393,41.19999,-70.88466,3.752,32.3055,32.3048,24.8628,24.8623,251.497,280.4937,9.914,9.914,1486.31,-0.032
HRS2303,002,11,2023-05-02 20:08:23+00:00,9263.0,122.839154,385.917,3.613,9.9137,9.9139,3.536974,3.536913,0.0969,0.3091,2.5394,16.19,0.0,0.3483,2.5394,41.2,-70.88466,3.585,32.3056,32.3048,24.863,24.8623,251.665,280.49827,9.9133,9.9135,1486.3,-0.173
HRS2303,002,12,2023-05-02 20:08:25+00:00,9292.0,122.839168,387.125,3.727,9.9126,9.9129,3.5369,3.536847,0.0982,0.3215,2.5391,16.55,0.0,0.306,2.5391,41.2,-70.88466,3.698,32.3058,32.305,24.8633,24.8627,251.572,280.50449,9.9122,9.9125,1486.3,0.023
HRS2303,003,1,2023-05-03 04:26:18+00:00,8287.0,123.184922,345.25,73.361,7.0892,7.0878,3.360054,3.359977,0.1467,0.8067,2.4995,3.05,0.0,0.6343,2.4996,40.51288,-70.88394,72.783,33.0284,33.029,25.8547,25.8554,265.119,297.13066,7.0826,7.0811,1477.74,0.027
HRS2303,003,2,2023-05-03 04:26:22+00:00,8395.0,123.184974,349.75,72.35,7.089,7.0875,3.359986,3.359906,0.1457,0.7972,2.4994,3.91,0.0,0.625,2.4994,40.51288,-70.88394,71.779,33.0284,33.029,25.8548,25.8554,264.991,297.13256,7.0824,7.0809,1477.72,-0.391
HRS2303,003,3,2023-05-03 04:28:52+00:00,12000.0,123.186712,499.958,50.444,7.0945,7.0937,3.355204,3.355209,0.1603,0.943,2.5352,25.39,0.0,0.5977,2.5354,40.51292,-70.88374,50.049,32.9814,32.9823,25.8167,25.8175,269.462,297.19736,7.09,7.0891,1477.33,-0.712
HRS2303,003,4,2023-05-03 04:28:57+00:00,12098.0,123.18676,504.042,51.583,7.0976,7.0961,3.355668,3.355619,0.1669,1.0088,2.5307,25.29,0.0,0.5475,2.5309,40.51292,-70.88374,51.179,32.983,32.9839,25.8176,25.8185,268.287,297.17313,7.0929,7.0915,1477.36,0.827
HRS2303,003,5,2023-05-03 04:31:03+00:00,15142.0,123.188228,630.875,30.172,8.2047,8.1008,3.447932,3.438986,0.4454,3.7934,2.7152,45.77,0.0,0.48,2.7154,40.5129,-70.88359,29.938,32.9365,32.9391,25.624,25.6413,285.823,289.93239,8.2017,8.0978,1481.19,-0.76
HRS2303,003,6,2023-05-03 04:31:07+00:00,15234.0,123.188272,634.708,32.567,7.7647,7.7479,3.410152,3.409053,0.5295,4.6349,2.7084,44.04,0.0,0.4528,2.7086,40.51292,-70.88357,32.313,32.9467,32.9509,25.6957,25.7014,284.357,292.79366,7.7616,7.7448,1479.57,0.82
