cruise,cast,niskin,date,sal00,sal11,density00,density11,sbox0mm_kg,oxsolmm_kg,potemp090c,potemp190c,svcm,svcm1,prdm,depsm,scan,times,t090c,t190c,c0ms_cm,c1ms_cm,sbeox0v,fleco_afl,cstarat0,cstartr0,par,v7,dz_dtm,altm,latitude,longitude
HRS2601,1,1,2026-04-23 14:25:51+00:00,32.9907,32.9907,1026.1354,1026.1353,281.78,301.98651,6.3918,6.3926,1474.56,1474.56,47.686,47.312,16367.0,681.917,6.3958,6.3967,32.948278,32.949058,2.4362,1.7265,1.6151,66.8942,3.9474,0.4619,-0.403,10.12,40.69768,-70.88566
HRS2601,1,2,2026-04-23 14:26:02+00:00,32.9909,32.9908,1026.1392,1026.1391,282.202,301.99736,6.3901,6.3907,1474.56,1474.57,48.442,48.062,16624.0,692.625,6.3942,6.3948,32.947374,32.947876,2.4389,1.711,1.7216,65.0435,3.5468,0.4512,0.593,9.96,40.69768,-70.88566
HRS2601,1,3,2026-04-23 14:28:29+00:00,32.9907,32.991,1026.1191,1026.1193,283.647,301.96911,6.3945,6.3944,1474.51,1474.51,44.223,43.876,20150.0,839.542,6.3983,6.3981,32.948928,32.949036,2.4502,1.5986,2.0608,59.7658,7.2671,0.4563,-0.315,14.32,40.69774,-70.88581
HRS2601,1,4,2026-04-23 14:28:43+00:00,32.9908,32.9911,1026.12,1026.1201,280.66,301.99114,6.3914,6.3924,1474.5,1474.5,44.324,43.976,20481.0,853.333,6.3951,6.3961,32.94627,32.947371,2.4293,1.9629,2.754,50.2387,8.202,0.4664,-0.137,15.11,40.69776,-70.88582
HRS2601,1,5,2026-04-23 14:29:03+00:00,32.9909,32.9911,1026.1205,1026.1206,277.67,301.98952,6.3915,6.3927,1474.5,1474.51,44.417,44.069,20970.0,873.708,6.3953,6.3964,32.946577,32.947774,2.4086,1.8988,2.8795,48.705,11.046,0.4609,0.039,16.22,40.69776,-70.88582
HRS2601,1,6,2026-04-23 14:31:19+00:00,32.9688,32.9681,1026.0148,1026.0157,303.912,298.4799,6.9067,6.8958,1476.42,1476.38,39.96,39.647,24233.0,1009.667,6.9103,6.8993,33.374447,33.364199,2.6182,1.5571,1.0534,77.0148,11.645,0.3594,-0.123,18.5,40.69786,-70.886
HRS2601,1,7,2026-04-23 14:31:37+00:00,32.9661,32.9694,1026.0039,1026.0113,307.488,298.07796,6.9664,6.9307,1476.65,1476.51,39.784,39.473,24662.0,1027.542,6.97,6.9342,33.424219,33.395841,2.6465,1.3024,1.0068,77.7589,11.752,0.3319,0.161,19.28,40.69786,-70.88602
HRS2601,1,8,2026-04-23 14:35:19+00:00,32.9454,32.9457,1025.8294,1025.8295,322.528,294.84374,7.4538,7.4547,1478.18,1478.18,19.885,19.731,29993.0,1249.667,7.4557,7.4566,33.822583,33.823662,2.7848,0.5934,7.9529,13.8824,92.097,0.2905,-0.317,44.6,40.69808,-70.88602
HRS2601,1,9,2026-04-23 14:35:27+00:00,32.9456,32.9457,1025.832,1025.8319,322.486,294.84382,7.4537,7.4548,1478.18,1478.19,20.414,20.255,30191.0,1257.917,7.4556,7.4567,33.822922,33.823987,2.7843,0.6118,11.8206,5.2873,92.273,0.295,0.245,44.62,40.69808,-70.886
HRS2601,1,10,2026-04-23 14:40:52+00:00,32.9436,32.9434,1025.7261,1025.7258,322.65,293.87779,7.601,7.6018,1478.44,1478.44,2.15,2.134,37992.0,1582.958,7.6012,7.6021,33.941147,33.94169,2.799,0.184,7.4456,16.2232,1698.3,0.2896,-0.395,29.82,40.69842,-70.88586
HRS2601,1,11,2026-04-23 14:41:01+00:00,32.9437,32.9436,1025.7253,1025.7246,331.281,293.93154,7.5929,7.5976,1478.4,1478.42,1.709,1.696,38189.0,1591.167,7.5931,7.5977,33.933878,33.937931,2.8605,0.1818,6.3301,20.6047,2145.4,0.2906,-0.254,28.7,40.69842,-70.88586
